Beta,Moment 
1,0.716145833
0.9,0.784179688
0.8,0.845052083
0.7,0.898763021
0.6,0.9453125
0.5,0.984700521
0.4,1.016927083
0.3,1.041992188
0.2,1.059895833
0.1,1.070638021
0,1.07421875
